16REG01643	16REG01643
16REG01644	16REG01644
AGS2000	AGS2000
Altamo	ALTAMO
Billings	BILLINGS
C0940610	C0940610
CCW3A37	CCW3A37
CCW3A49	CCW3A49
Chateau	CHATEAU
CNN	CNN
CO960293	CO960293
Dayn	DAYN
Duster	DUSTER
Hank	HANK
IDO444	IDO444
KS05HW14-3	KS05HW14-3
LA95135	LA95135
Lyman	LYMAN
M6	M6
McNeal	MCNEAL
MN98550-5	MN98550-5
MN99294-1	MN99294-1
OPATA	OPATA
Overley	OVERLEY
26R61	PIONEER26R61
Platte	PLATTE
Reeder	REEDER
RioBlanco	RIOBLANCO
SS-mpv57	SS-MPV57
SY-Capstone	SY-CAPSTONE
TA1615	TA1615
Ta1662	TA1662
TA1718	TA1718
TAM111	TAM111
TAM112	TAM112
Vida	VIDA
